사고월,사고일,합계,과로,과속,앞지르기 방법위반,앞지르기 금지위반,중앙선 침범,신호위반,안전거리 미확보,서행 및 일시정지위반,부당한 회전,통행우선 순위위반,진로양보 의무 불이행,안전운전 의무 불이행,교차로 통행방법 위반,보행자 보호의무 위반,차로위반(진로변경 위반),직진 및 우회전차의 통행방해,철길건널목 통과방법위반,긴급자동차에대한 피양의무 위반,기타(운전자법규위반),정비불량 제차의 운전금지위반
09월,10일,533,-,3,-,1,27,69,42,-,5,-,-,317,26,15,6,15,-,-,7,-
09월,11일,657,-,7,1,1,29,76,61,3,1,-,-,351,52,23,13,23,-,-,16,-
09월,12일,585,-,5,-,2,21,78,49,1,4,1,-,308,43,28,16,13,-,-,16,-
09월,13일,668,-,2,-,1,26,75,56,1,7,-,-,385,45,22,17,20,-,-,11,-
09월,14일,723,-,4,-,1,30,89,68,1,7,-,-,412,47,20,8,21,-,-,15,-
09월,15일,712,-,3,1,1,34,69,65,5,6,-,-,404,31,28,15,23,-,-,26,1
09월,16일,632,-,6,-,2,40,65,56,-,2,-,-,373,36,10,9,22,-,-,11,-
09월,17일,525,-,2,-,2,45,56,39,1,4,-,-,312,31,10,6,9,-,-,8,-
09월,18일,724,-,5,-,2,35,75,65,2,4,-,1,407,51,30,12,22,-,-,13,-
09월,19일,599,-,2,-,1,29,48,45,1,1,-,-,359,44,25,13,19,-,-,12,-
09월,20일,739,-,1,-,1,33,77,74,2,3,-,-,435,48,28,9,16,-,-,12,-
09월,21일,702,-,3,-,1,24,77,53,3,8,-,-,400,52,25,12,24,-,-,20,-
09월,22일,754,-,1,2,1,34,72,65,1,3,-,-,432,63,21,17,23,-,-,19,-
09월,23일,732,-,3,-,-,31,77,50,1,2,-,-,433,59,20,15,24,-,-,17,-
09월,24일,543,-,1,-,1,26,61,44,3,4,-,-,319,35,15,7,15,-,-,12,-
09월,25일,675,-,2,-,2,24,76,55,1,2,-,-,390,39,33,13,17,-,-,21,-
